Building ID,No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
E-G-13,0.75,0.59,0,1,0.2,0.007,4
E-G-14,0.5,0.36,0,0,0.34,0.013,4
E-G-16,0.25,0.2,0,1,0.46,0.029,2
E-G-17,0.75,0.23,0,1,0.17,0.006,2
E-G-18,0.5,0.3,0,0,0.34,0.025,2
E-G-19,0.5,0.45,0,1,0.24,0.005,4
E-G-20,0.25,0.36,0,1,0.42,0.012,2
E-G-3,0.5,0.45,0,0,0.16,0.003,2
E-G-4,0.25,0.42,0,1,0.33,0.007,2
E-G-6,0.5,0.18,0,0,0.31,0.045,3
E-H-25,0.5,0.33,0,0,0.32,0.008,4
E-H-26,0.5,0.29,0,0,0.31,0.018,2
E-H-28,0.5,0.43,0,1,0.27,0.015,3
E-H-34,0.25,0.18,0,1,0.28,0.015,2
E-I-42,0.25,0.35,0,1,0.38,0.012,4
E-J-1,0.25,0.18,0,1,0.41,0.018,3
E-J-11,0.5,0.18,0,0,0.56,0.037,3
E-J-14,0.25,0.18,0,1,0.19,0.005,2
E-J-16,0.5,0.18,0,0,0.26,0.01,2
E-J-18,0.25,0.18,0,0,0.47,0.015,2
E-J-23,0.5,0.18,0,0,0.35,0.011,2
E-J-28,0.25,0.18,0,0,0.4,0.022,2
E-J-30,0.5,0.18,0,1,0.29,0.011,2
E-J-5,0.5,0.18,0,0,0.24,0.011,4
E-J-6,0.5,0.18,0,0,0.23,0.022,3
E-K-35,0.5,0.21,0,0,0.27,0.018,2
E-K-37,0.5,0.51,0,0,0.3,0.012,2
E-K-39,0.75,0.33,0,1,0.29,0.013,4
E-K-41,0.75,0.39,0,1,0.2,0.007,2
E-NB-106,0.5,0.55,0,1,0.26,0.008,4
E-NB-110,0.75,0.39,0,1,0.2,0.007,4
E-NB-111,1,0.38,0,0,0.31,0.058,4
E-NB-115,0.5,0.3,0,1,0.28,0.007,2
E-NB-116,0.5,0.3,0,0,0.27,0.011,2
E-NB-117,0.25,0.35,0,0,0.42,0.013,2
E-NB-118,0.5,0.27,0,1,0.41,0.584,2
E-NB-119,0.5,1,0,0,0.37,0.017,3
E-NB-124,0.25,0.45,0,1,0.38,0.011,2
E-NB-126,0.25,0.39,0,0,0.53,0.03,3
E-NB-127,0.5,0.38,0,0,0.16,0.013,3
E-NB-128,0.25,0.43,0,0,0.66,0.046,2
E-NB-129,0.25,0.4,0,0,0.49,0.098,2
E-NB-134,0.5,0.18,0,0,0.27,0.01,3
E-NB-137,0.5,0.38,0,0,0.21,0.006,3
E-NB-146,0.25,0.18,0,0,0.34,0.01,2
E-NB-148,0.25,0.18,0,0,0.31,0.017,2
E-NB-158,0.75,0.27,0,0,0.21,0.026,3
E-NB-159,0.75,0.18,0,0,0.22,0.011,3
E-NB-161,0.75,0.18,0,1,0.34,0.023,2
E-NB-162,0.5,0.41,0,0,0.29,0.019,4
E-NB-163,0.25,0.45,0,0,0.45,0.026,2
F-A-1,0,0.31,0,1,0.69,0.018,2
F-A-15,0,0.18,0,1,0.36,0.005,2
F-A-18,0.25,0.35,0,0,0.36,0.012,2
F-A-20,0,0.18,0,1,0.53,0.024,3
F-A-26,0.25,0.18,0,1,0.22,0.004,3
F-A-28,0,0.39,0,1,0.85,0.056,3
F-A-32,0.25,0.18,0,1,0.32,0.023,2
F-A-34,0.25,0.18,0,1,0.33,0.009,2
F-A-6,0.25,0.18,0,1,0.33,0.01,2
G-A-104,0.25,0.18,0,0,0.42,0.022,2
G-A-105,0.25,0.18,0,0,0.34,0.018,2
G-A-106,0.25,0.18,0,0,0.81,0.376,2
G-A-120-A,0,0.18,0,1,0.56,0.045,2
G-A-120-B,0,0.18,0,0,0.59,0.206,2
G-A-120-C,0,0.18,0,0,0.55,0.045,2
G-A-123,0.5,0.45,0,1,0.54,0.655,2
G-A-124,0,0.18,0,1,0.49,0.015,2
G-A-125,0,0.18,0,1,0.52,0.063,2
G-A-126,0.25,0.25,0,1,0.4,0.02,2
G-A-129,0.75,0.18,0,0,0.29,0.033,4
G-A-130,0.75,0.18,0,0,0.32,0.032,4
G-A-133,0.25,0.18,0,0,0.35,0.026,3
G-A-14,0.5,0.18,0,0,0.36,0.027,2
G-A-140,0.25,0.18,0,0,0.48,0.017,3
G-A-21,0.5,0.18,0,1,0.32,0.012,2
G-A-22,0.5,0.18,0,0,0.28,0.016,2
G-A-4,0.25,0.2,0,0,0.47,0.018,1
