F_Length,F_Height,Gable,Gable_height,tot_area_opening,s_height,F_thickness,n_intwall_perp_f,n_intwall_paral_f,Length_perp_f,n_intwall_perp_back_f,Roof_A3_t_A1_m,P_O,Masonry_E_unf_B_fir,Mortar,length_brick,height_brick,staggering_brick,LEFT_Connec,rIGHT_Connec,Damage
3.5,3.6,0,0,3.06,0.6,0.18,2,1,6,1,3,1,1,2,0.25,0.095,0.095,1,1,0.561109089
6.6,3,1,0.5,1.25,0.5,0.18,1,1,9.2,2,3,2,2,2,0.23,0.07,0.115,1,1,0.058632804
9.2,2.5,0,0,2.96,0.55,0.18,2,1,6.6,1,3,1,2,2,0.23,0.07,0.115,1,1,0.117704167
6.5,2.9,1,0.4,0,0,0.14,1,1,8,1,3,2,1,2,0.28,0.075,0.18,0,0,0.117967033
8,2.5,0,0,3.6,0.4,0.14,2,1,6.5,1,3,1,1,2,0.28,0.075,0.18,0,0,0.139601913
6.3,3.2,1,0.7,1.845,0.65,0.15,2,2,6.3,2,3,2,1,2,0.26,0.05,0.17,0,0,0.047261228
7,2.5,0,0,4.04,0.65,0.15,2,2,6.3,2,3,1,1,2,0.26,0.05,0.17,0,0,0.178384354
7.1,2.7,0,0,0,0,0.15,0,0,8.58,0,3,2,2,2,0.28,0.05,0.09,0,0,0.095919066
8.58,2.7,0,0,1.44,0.65,0.15,0,0,7.1,0,3,1,2,2,0.28,0.05,0.09,0,0,0.103305416
3.5,2.4,0,0,0,0,0.15,1,2,10,1,3,2,2,2,0.23,0.07,0.1,0,0,0.082289932
10.1,2.4,0,0,2.654,0.45,0.15,2,1,3.5,2,3,1,2,2,0.23,0.07,0.1,0,0,0.072643268
8.5,2.7,0,0,0,0,0.25,1,3,10.5,1,3,2,1,2,0.23,0.075,0.15,1,1,0.078275981
10.5,2.7,0,0,3.3,0.6,0.25,2,1,8.5,3,3,1,1,2,0.23,0.075,0.15,1,1,0.421982317
6.1,3.8,1,1.2,1.14,0.6,0.26,1,3,13,1,3,2,2,2,0.215,0.065,0.105,1,1,0.078910298
13,2.6,0,0,5.64,0.6,0.26,3,1,6.1,3,3,1,2,2,0.215,0.065,0.105,1,1,0.098611073
3.3,2.8,1,0.5,0,0,0.17,0,1,8.05,0,3,2,2,2,0.215,0.065,0.105,1,1,0.038094626
8.05,2.3,0,0,3.5125,0.3,0.17,1,0,3.3,1,3,1,2,2,0.215,0.065,0.105,1,1,0.101842798
5.5,3.4,1,0.7,0.56,0.6,0.15,1,2,7,1,3,2,3,2,0.28,0.075,0.1,0,0,0.487538162
7,2.7,0,0,2.25,0.6,0.15,2,1,5.5,2,3,1,3,2,0.28,0.075,0.1,0,0,0.062684228
3.1,2.5,1,0.4,0,0,0.23,0,0,5.1,0,3,2,2,2,0.215,0.06,0.105,1,1,0.034003967
5.1,2.1,0,0,2.2185,0.35,0.23,0,0,3.1,0,3,1,2,2,0.215,0.06,0.105,1,1,0.089689202
6,2.95,1,0.5,0,0,0.23,1,1,6.8,1,3,2,2,2,0.26,0.065,0.13,1,1,0.070121631
