No. Of Story - Normalised,SSI Normalized,OR Normalized,RNS Normalized,MNLSI Normalised,MNLSTFI Normalised,Damage
0.25,0.15,0.43,0,0.43,0.014,2
0.5,0.18,0.08,0,0.31,0.02,4
0.25,0.36,0.38,1,0.3,0.005,2
0.25,0.27,0.69,1,0.27,0.005,2
0.75,0.21,0.07,1,0.31,0.3,3
0.75,0.23,0.08,0,0.23,0.021,2
0.5,0.39,0,0,0.41,0.022,2
0.25,0.49,0.06,1,0.31,0.03,2
0.25,0.34,0,1,0.41,0.01,2
0.25,0.34,0,1,0.3,0.009,2
0.5,0.36,0.12,1,0.5,0.027,2
0.5,0.37,0,1,0.26,0.012,2
0.75,0.3,0,0,0.36,0.125,3
0.75,0.3,0.39,0,0.29,0.03,3
0.75,0.39,0,0,0.32,0.022,2
0.5,0.42,0.3,1,0.33,0.012,2
0.5,0.41,0.24,1,0.37,0.018,2
0.25,0.27,0.87,0,0.8,0.042,2
0.5,0.46,0.14,1,0.18,0.007,4
1,0.33,0,0,0.29,0.01,4
0.25,0.3,0,1,0.28,0.011,2
0.5,0.42,0,0,0.28,0.011,4
0.5,0.18,0,0,0.35,0.017,2
0.25,0.4,0,0,1,0.05,4
0.75,0.31,0,0,0.25,0.011,4
0.75,0.36,0,1,0.17,0.113,3
0.25,0.29,0,0,0.15,0.003,2
0.75,0.39,0,0,0.28,0.012,2
0.75,0.42,0,0,0.26,0.017,3
0.5,0.43,0,0,0.31,0.016,3
0.25,0.21,0,0,0.22,0.004,2
0.25,0,0,1,0.48,0.016,2
0.25,0.38,0,1,0.34,0.03,2
0.25,0.24,0,0,0.26,0.01,2
0.5,0.18,0,0,0.37,0.015,2
0.25,0.18,0,0,0.34,0.026,3
0.25,0.18,0,1,0.32,0.01,3
0.5,0.21,0,0,0.48,0.103,3
0.75,0.59,0,1,0.2,0.007,4
0.75,0.59,0,1,0.2,0.007,4
0.5,0.36,0,0,0.34,0.013,4
0.25,0.2,0,1,0.46,0.029,2
0.75,0.23,0,1,0.17,0.006,2
0.5,0.3,0,0,0.34,0.025,2
0.5,0.45,0,1,0.24,0.005,4
0.25,0.36,0,1,0.42,0.012,2
0.5,0.45,0,0,0.16,0.003,2
0.25,0.42,0,1,0.33,0.007,2
0.5,0.18,0,0,0.31,0.045,3
0.5,0.33,0,0,0.32,0.008,4
0.5,0.29,0,0,0.31,0.018,2
0.5,0.43,0,1,0.27,0.015,3
0.25,0.18,0,1,0.28,0.015,2
0.25,0.35,0,1,0.38,0.012,4
0.25,0.18,0,1,0.41,0.018,3
0.5,0.18,0,0,0.56,0.037,3
0.25,0.18,0,1,0.19,0.005,2
0.5,0.18,0,0,0.26,0.01,2
0.25,0.18,0,0,0.47,0.015,2
0.5,0.18,0,0,0.35,0.011,2
0.25,0.18,0,0,0.4,0.022,2
0.5,0.18,0,1,0.29,0.011,2
0.5,0.18,0,0,0.24,0.011,4
0.5,0.18,0,0,0.23,0.022,3
0.5,0.21,0,0,0.27,0.018,2
0.5,0.51,0,0,0.3,0.012,2
0.75,0.33,0,1,0.29,0.013,4
0.75,0.39,0,1,0.2,0.007,2
0.5,0.55,0,1,0.26,0.008,4
0.75,0.39,0,1,0.2,0.007,4
1,0.38,0,0,0.31,0.058,4
0.5,0.3,0,1,0.28,0.007,2
0.5,0.3,0,0,0.27,0.011,2
0.25,0.35,0,0,0.42,0.013,2
0.5,0.27,0,1,0.41,0.584,2
0.5,1,0,0,0.37,0.017,3
0.25,0.45,0,1,0.38,0.011,2
0.25,0.39,0,0,0.53,0.03,3
0.5,0.38,0,0,0.16,0.013,3
0.25,0.43,0,0,0.66,0.046,2
0.25,0.4,0,0,0.49,0.098,2
0.5,0.18,0,0,0.27,0.01,3
0.5,0.38,0,0,0.21,0.006,3
0.25,0.18,0,0,0.34,0.01,2
0.25,0.18,0,0,0.31,0.017,2
0.75,0.27,0,0,0.21,0.026,3
0.75,0.18,0,0,0.22,0.011,3
0.75,0.18,0,1,0.34,0.023,2
0.5,0.41,0,0,0.29,0.019,4
0.25,0.45,0,0,0.45,0.026,2
0,0.31,0,1,0.69,0.018,2
0,0.18,0,1,0.36,0.005,2
0.25,0.35,0,0,0.36,0.012,2
0,0.18,0,1,0.53,0.024,3
0.25,0.18,0,1,0.22,0.004,3
0,0.39,0,1,0.85,0.056,3
0.25,0.18,0,1,0.32,0.023,2
0.25,0.18,0,1,0.33,0.009,2
0.25,0.18,0,1,0.33,0.01,2
0.25,0.18,0,0,0.42,0.022,2
0.25,0.18,0,0,0.34,0.018,2
0.25,0.18,0,0,0.81,0.376,2
0,0.18,0,1,0.56,0.045,2
0,0.18,0,0,0.59,0.206,2
0,0.18,0,0,0.55,0.045,2
0.5,0.45,0,1,0.54,0.655,2
0,0.18,0,1,0.49,0.015,2
0,0.18,0,1,0.52,0.063,2
0.25,0.25,0,1,0.4,0.02,2
0.75,0.18,0,0,0.29,0.033,4
0.75,0.18,0,0,0.32,0.032,4
0.25,0.18,0,0,0.35,0.026,3
0.5,0.18,0,0,0.36,0.027,2
0.25,0.18,0,0,0.48,0.017,3
0.5,0.18,0,1,0.32,0.012,2
0.5,0.18,0,0,0.28,0.016,2
0.25,0.2,0,0,0.47,0.018,1
0.75,0.17,0,0,0.14,0.019,2
0.5,0.38,0,0,0.41,0.053,4
0,0.18,0,1,0.55,0.028,1
0.25,0.18,0,0,0.4,0.021,3
0.75,0.18,0,0,0.19,0.119,4
0.5,0.2,0,0,0.33,0.126,4
0.75,0.18,0,0,0.26,0.031,3
0.75,0.18,0,0,0.33,0.057,3
0.25,0.17,0,0,0.32,0.017,2
0.25,0.46,0,1,0.24,0.01,2
0.5,0.18,0,0,0.38,0.019,2
0.25,0.26,0,0,0.27,0.005,4
0.25,0.18,0,0,0.35,0.011,2
0,0.18,0,0,0.45,0.006,2
0.25,0.18,0,1,0.69,0.022,3
0.5,0.18,0,0,0.25,0.026,2
0,0.24,0,0,0.67,0.024,2
0.5,0.18,0,1,0.3,0.018,2
0,0.18,0,1,0.49,0.016,2
0.25,0.18,0,0,0.35,0.009,3
0.25,0.18,0,1,0.41,0.006,2
0.25,0.18,0,0,0.42,0.011,2
0.25,0.18,0,0,0.54,0.029,2
0,0.18,0,0,0.42,0.008,2
0,0.18,0,0,0.44,0.028,2
0.25,0.18,0,0,0.5,0.023,2
0.75,0.18,0,0,0.3,0.013,2
0.25,0.18,0,0,0.32,0.032,4
0.5,0.33,0,0,0.35,0.01,2
0.25,0.18,0,0,0.34,0.006,2
0.25,0.18,0,1,0.4,0.014,2
0.25,0.14,0,1,0.36,0.003,1
0,0.35,0,0,0.38,0.013,1
0.25,0.18,0,1,0.36,0.006,1
0.25,0.41,0,1,0.59,0.047,1
0,0.27,0,0,0.43,0.006,1
0,0.18,0,0,0.71,0.045,1
0.5,0.27,0,1,0.43,0.009,1
0.5,0.35,0,1,0.36,0.005,1
0.5,0.41,0,1,0.17,0.006,1
0.75,0.38,0,1,0.16,0.012,1
0.75,0.38,0,1,0.21,0.005,1
0.75,0.39,0,0,0.24,0.023,1
0.75,0.39,0,0,0.22,0.015,1
1,0.39,0,1,0.27,0.075,1
0.25,0.5,0,0,0.44,0.052,1
0,0.43,0,0,0.61,0.017,1
0.5,0.18,0,1,0.28,0.017,1
0.75,0.34,0,0,0.21,0.008,4
0.75,0.27,0,0,0.29,0.016,4
0.75,0.25,0,0,0.25,0.013,3
0.75,0.47,0,0,0.25,0.023,1
0.75,0.18,0,0,0.28,0.018,4
0.75,0.39,0,0,0.26,0.031,1
0.25,0.18,0,0,0.49,0.078,4
0.5,0.21,0,1,0.29,0.008,1
0.5,0.18,0,0,0.61,0.025,4
0.25,0.18,0,0,0.47,0.026,1
0.75,0.18,0,0,0.26,0.106,1
