System Type,Year of cons.,No. of Story,Ground floor Area,Total Floor Area,Overhang Area,Story Heights Ground,Story Heights Normal,Irr-A1,Irr-A2,Irr-A3,Irr-A4,Irr-B1,Irr-B2,Irr-B3,X-dir - Frames,Y-dir - Frames,SSI,OR (Aover/Agrou),RNS,MNLSI,MNLSTFI,Damage Class
2,1981,3,230,690,0,3.15,2.95,2,2,2,2,2,1,2,5,3,1.068,0,2,3.0334,0.0686,1
1,1993,3,154,604,0,3.3,2.8,1,2,1,1,2,1,2,2,4,1.179,0,1,2.064,0.1205,1
1,1980,4,300,1200,3.85,3.1,2.9,2,2,2,1,2,1,2,2,2,1.069,0.01,1,0.2222,0.0046,1
1,1975,3,142.2,426.6,16.5,2.75,2.75,1,2,2,2,2,2,2,3,3,1,0.12,2,2.752,0.058,1
1,1977,3,124,372,18.87,2.8,2.9,1,2,2,2,2,2,2,2,4,0.966,0.15,1,3.3378,0.0745,1
1,1985,4,472.5,1890,12.6,2.9,2.9,1,2,2,1,2,2,2,4,4,1,0.03,1,2.4383,0.1028,3
1,1974,3,102,306,13.56,3.4,2.8,2,2,2,2,2,1,2,3,4,1.214,0.13,3,2.3769,0.031,1
1,1990,3,140,420,33.7,3.1,2.8,2,2,2,2,2,1,2,3,5,1.107,0.24,3,2.1968,0.0283,1
2,1980,5,400,2000,9.44,3.2,3.1,1,2,1,1,2,1,2,5,4,1.032,0.02,2,2.4494,1.4975,2
2,1997,5,952,5480,25.88,3.1,2.95,1,1,2,1,2,1,2,3,4,1.051,0.03,1,1.9151,0.1085,1
1,1985,4,105,420,0,3.5,2.8,1,2,2,1,2,1,2,2,4,1.25,0,1,3.1944,0.1135,1
1,1987,3,290,870,6.25,3.8,2.8,2,2,2,1,2,1,2,4,8,1.357,0.02,3,2.4663,0.1534,1
1,1980,3,97,291,0,3.5,2.95,1,2,1,1,2,1,2,3,4,1.186,0,3,3.2096,0.0556,1
1,1980,3,248,744,0,3.5,2.95,1,2,2,2,2,1,2,6,4,1.186,0,3,2.4224,0.0505,1
1,1970,4,250,1000,10.9,3.5,2.9,1,2,1,1,1,1,2,5,7,1.207,0.04,3,3.8732,0.1388,1
1,1994,4,312,1248,0,3.3,2.7,1,2,2,1,2,1,2,4,5,1.222,0,2,2.0776,0.064,1
2,1993,5,201,1005,0,3.65,3.2,1,2,1,1,2,1,2,3,3,1.141,0,1,2.8005,0.6273,2
2,1993,5,740,3700,101.46,3.65,3.2,1,2,1,1,2,1,2,3,5,1.141,0.14,1,2.3375,0.1557,2
2,1980,5,185,925,0,3.6,2.9,1,2,1,1,2,1,1,2,4,1.241,0,1,2.5344,0.1163,1
1,1970,4,132,528,14.08,3.6,2.8,2,2,2,2,2,1,2,4,5,1.286,0.11,3,2.6496,0.0644,1
1,1980,4,158,632,13.28,3.8,3,1,2,2,2,2,1,2,3,5,1.267,0.08,3,2.9259,0.0941,1
1,1987,3,26,78,7.91,3.2,2.9,1,2,2,2,2,1,2,2,2,1.103,0.3,1,6,0.2147,1
1,1973,4,505,2020,25.1,4.1,3.1,2,2,2,1,2,1,2,5,5,1.323,0.05,2,1.5197,0.0381,3
1,1986,6,46,276,16.64,3.4,2.9,2,2,2,2,2,1,2,2,2,1.172,,1,2.3188,0.0522,3
1,1993,3,57,171,12.6,3.3,2.9,2,2,2,1,2,1,2,2,4,1.138,,2,2.2783,0.0614,1
1,1973,4,132,528,0,3.6,2.8,1,2,2,1,2,1,2,2,4,1.286,,1,2.2317,0.0603,3
1,1979,4,233,932,39.2,2.7,2.7,2,2,2,2,2,2,2,4,2,1,,1,2.7496,0.0882,1
1,1974,3,30,90,0,3.65,2.9,2,2,2,1,2,1,2,2,2,1.259,,1,7.478,0.2528,3
1,1979,5,104,520,24.16,3.35,2.9,2,2,2,2,2,2,2,1,4,1.155,,1,2.0192,0.0607,3
2,1994,5,158,790,0,3.5,2.9,1,2,1,1,2,2,2,3,4,1.207,,2,1.4857,0.5674,2
1,1968,3,110,330,0,3.45,3.05,2,2,2,2,2,2,2,4,2,1.131,,1,1.3295,0.0188,1
1,1996,5,62,310,4.69,3.5,2.8,2,2,2,2,2,1,2,2,2,1.25,,1,2.2796,0.0658,1
2,1989,5,260,1303,15.6,3.6,2.8,1,2,1,1,1,2,1,1,1,1.286,,1,2.1221,0.0894,2
1,1989,4,240,960,32.6,3.5,2.7,2,2,2,2,2,1,2,1,2,1.296,,1,2.4738,0.0825,2
1,1985,3,110,330,15.36,2.9,2.8,2,2,2,2,2,2,2,3,2,1.036,,1,1.798,0.0242,1
1,1984,3,101,303,10.6,2.2,2.8,2,2,2,2,2,2,2,3,4,0.786,,3,3.736,0.0842,1
2,1989,3,199,597,33.74,3.4,2.75,2,2,2,2,2,1,2,3,4,1.236,,2,2.6533,0.155,1
1,1970,3,258,774,23.3,3,2.8,2,2,2,2,2,2,1,2,4,1.071,,1,2.0952,0.0519,1
1,1991,4,90,360,10.74,2.7,2.7,1,2,2,2,2,2,2,2,4,1,,1,2.9139,0.081,1
1,1995,3,124,372,14.25,2.9,2.9,2,2,2,2,2,2,2,3,1,1,,1,2.707,0.1333,2
1,1997,3,131,393,17.78,2.8,2.8,2,2,2,2,2,2,2,3,3,1,,2,2.5106,0.0564,2
2,1987,4,138,632,0,2.9,2.8,1,1,1,1,2,1,2,2,4,1.036,,1,3.6943,0.5188,2
1,1980,5,350,1750,0,4.3,2.9,2,2,1,2,2,1,1,4,5,1.483,,2,1.6861,0.0378,3
1,1980,5,350,1750,0,4.3,2.9,2,2,1,2,2,1,1,4,5,1.483,,2,1.6861,0.0378,3
1,1980,4,132,528,14.59,3.5,2.9,2,2,2,2,2,1,2,3,2,1.207,,1,2.6553,0.0711,3
1,1990,3,151,453,10.33,2.9,2.85,2,2,2,1,2,2,2,3,3,1.018,,2,3.5394,0.1507,1
1,1992,5,165,945,0,2.9,2.75,2,1,2,2,2,1,2,4,3,1.055,,2,1.4567,0.0367,1
1,1992,4,213.2,852.8,0,3.3,2.9,2,2,2,2,2,1,2,2,4,1.138,,1,2.7036,0.131,1
1,1976,4,211.2,844.8,6.99,3.8,2.9,2,2,2,2,2,1,2,3,5,1.31,,2,1.9672,0.0293,3
1,1987,3,185,555,0,3.5,2.9,2,2,2,2,2,1,2,3,4,1.207,,2,3.2393,0.066,1
1,1974,4,120.3,481.2,0,3.7,2.8,2,2,2,2,2,1,2,2,3,1.321,,1,1.4019,0.0189,1
1,1977,3,294,882,10.46,3.6,2.8,2,2,2,2,2,1,2,4,6,1.286,,3,2.5888,0.0399,1
2,1983,4,314.5,1258,0,3.3,3.3,2,2,2,2,2,2,2,3,4,1,,1,2.4739,0.2296,2
